用户名,用户uid,用户ID,粉丝数量,发表时间,视频awemeid,视频url,视频描述,视频时长,点赞数量,收藏数量,评论数量,下载数量,分享数量,总互动量
lol芜湖神,a75275510483,MS4wLjABAAAANM45qgOB86tTs05LDKQ5qFaRCp7jtLAYswMcOlZ0OpQ,265009,2024.10.11,a7424492924898921782,https://www.douyin.com/video/7424492924898921782,偶遇摆烂辅助 队友想点？ 别怕 有神在 输不了！ #三桂园区 #芜湖神,04:46,634,13,57,0,8,712
狼王沃李克（点草设计师版）,a57819376826,MS4wLjABAAAA2_XTWGRWmVfDqIz-8UenQKWpFgmkNphWYtyFxF-iwDs,16718,2025.01.03,a7455656173937773851,https://www.douyin.com/video/7455656173937773851,摆烂着玩游戏没意思呀！ #lol #游戏日常 #上单 #狼人沃里克 #细节操作,05:48,397,13,27,0,12,449
文森特的鲍飞大剑,a4124995807357191,MS4wLjABAAAAxHBDpP6JmcwuYjEUpx2O1Llg1lbR8oVHAAO3PYK3sqt8ynRSm0dSsVtS0ja8MzWr,340492,2024.09.14,a7414444566851439891,https://www.douyin.com/video/7414444566851439891,队友一级摆烂送人头，文森特当即就掏出四字真言，表示你随便送！  #游戏日常  #文森特  #lol,03:17,147,13,4,0,5,169
萨and萨（卡饵码）,a69653339066,MS4wLjABAAAADx6fiG1aXGNh-kTcFF48nbRhh_Wmossu3vN2gXKbYq0,167,2024.12.21,a7450865936518647074,https://www.douyin.com/video/7450865936518647074,希望联盟手游越做越好 评论区友好讨论，不要硬喷，强喷，猛喷，谢谢🙏我之前连跪也疯狂也骂队友也摆烂故意输。但冷静下来这都是浪费自己的时间和精力，没有任何意义。#lol手游新赛季 #lolm #单排上分 #lol手游进化海克斯峡谷 #英雄联盟手游,04:50,6,0,4,0,0,10
黎子糕,a70390489120,MS4wLjABAAAAgtnFw0FORZ1DY60z8LU-Tqh7hCkwOtSJuQ9cZRVs4AM,1171,2024.06.06,a7377419452670889225,https://www.douyin.com/video/7377419452670889225,@英雄联盟手游 我该用什么样的语气什么样的语言来表达我乱七八糟的心情？连跪6把，把把队友摆烂举报不了，打野帮抓，我跟ad推线进塔捆人，被控死了就认定我消极比赛？#lol手游 #lol手游新赛季 #lol #英雄联盟,00:15,15,0,27,0,0,42
Hᴀʙɪᴛ·,a60385805429,MS4wLjABAAAAjVCeirXviaKORJ4-AFL2VKPbYvDxIOrCZSwRuSKOUno,36,2024.05.04,a7365024288564432165,https://www.douyin.com/video/7365024288564432165,#lol #日常排位  #四打五逆风翻盘 队友挂机+摆烂，牵条鳄鱼🐊极限四打五逆风翻盘。,01:40,2,0,2,0,0,4
星鱼天使lolm,a4010611696737831,MS4wLjABAAAA_6HiiVuIoCBVlV0Nuxynj0hgVpI0QcAz3cDFnYQ274h7o_I8G4vLnvZuAmcW3s0U,25173,2023.11.18,a7302825317146692915,https://www.douyin.com/video/7302825317146692915,队友摆烂，你会选择坚持还是放弃？#lolm #星鱼天使 #英雄联盟手游,02:15,1305,57,115,1,45,1523
浪灯Wdc（反野流打野）,a80188783996,MS4wLjABAAAAIuhXvPOs3yn3pO33iIy6sEchJijmWc5OhJ6Peyu_msw,480960,2024.12.16,a7448953382007524668,https://www.douyin.com/video/7448953382007524668,AD摆烂送头，中单挂机喷队友，3V7能否带赢？ #英雄联盟 #游戏日常 #赵信,07:00,2096,115,119,0,30,2360
北神,a1605756923681312,MS4wLjABAAAAmnAUcijhqJEYYSOlnA-20d_7x1ko_oeWDNOmi2schcCx0p1tq83jNsK2WsLJFUYt,17926,2023.08.29,a7272708019287313699,https://www.douyin.com/video/7272708019287313699,#lol手游斗魂无双 让摆烂队友信誉变成3真的太开心了,05:29,66,5,46,0,5,122
关羽骑摩托78,a213756716002859,MS4wLjABAAAA8NYcVOazuuD8KzCFzjOgNbawgZXinrvN9VPhJYRocs0,9208,2024.10.20,a7427757951949081896,https://www.douyin.com/video/7427757951949081896,提高自己不如摆烂！昨天摆烂玩11局还能赢9局，养生流打野武器 #lol手游  #英雄联盟手游,07:44,523,55,185,0,376,1139
炒面（机制上分）,a96376667682,MS4wLjABAAAA3o8O5-lnFhy7fsmwiCzJIND8wDgWgk5IhqNLFmp54Po,13680,2025.01.12,a7458986417801186620,https://www.douyin.com/video/7458986417801186620,队友开局摆烂，极端条件下再次刷新下限，唯有掌握机制方能临危不惧#匹配机制#卡匹配 #s38新赛季,01:41,1103,423,73,0,177,1776
蘑菇王大白（国一提莫）,a4231336188454347,MS4wLjABAAAA0ZeTJ1NMPsQUSUuBd41szHK9Lr-zpidiwHED-rJWP7NbfJC5MabgsbFLCyKGn6bx,176759,2023.09.26,a7283088529494691128,https://www.douyin.com/video/7283088529494691128,当歧视提莫已成共识，队友摆烂也是提莫的错对吗？#提莫 #lol手游斗魂无双,02:34,3583,143,2692,0,133,6551
